Date,Portfolio Value,MonthYear,Contributions,Cash Flow (ex-Contributions),SPX Return,Monthly MWR,SPX Adjusted Return,Cumulative MWR,Cumulative SPX Adjusted Return
2021-04-01,2574.3543148231506,04-2021,"[(Timestamp('2021-04-14 00:00:00'), 1119.79052), (Timestamp('2021-04-15 00:00:00'), 1597.8000000000002)]",0.0,,0.0,0.0,0.0,0.0
2021-05-01,2428.4071707844732,05-2021,[],1.09362,0.0054864886706069,-0.05628003236265646,0.0054864886706069,-0.05628003236265644,0.00548648867060697
2021-06-01,2457.7498666405677,06-2021,[],1.9199460000000002,0.0222140095658347,0.0128787980776016,0.0222140095658347,-0.04412605345765441,0.027822375148253364
2021-07-01,2376.68846183002,07-2021,[],1.020191,0.0227480548283887,-0.032573683817437436,0.0227480548283887,-0.07526238916165084,0.05120333489197049
2021-08-01,2431.5782239580153,08-2021,[],1.007237,0.0289904162554386,0.023523813991451183,0.0289904162554386,-0.053509033613390655,0.08167815713959392
2021-09-01,2300.3746609020236,09-2021,[],0.0,-0.047569168801901,-0.05395819133567679,-0.047569168801901,-0.10457997427516896,0.03022362629329134
2021-10-01,2858.9627318167686,10-2021,"[(Timestamp('2021-10-19 00:00:00'), 323.32)]",2.8094040000000002,0.0691438364006065,0.1035567651554736,0.06388959141074271,-0.011853172955674451,0.09604419283886334
2021-11-01,4804.321087608933,11-2021,"[(Timestamp('2021-11-04 00:00:00'), 807.9), (Timestamp('2021-11-08 00:00:00'), 803.2), (Timestamp('2021-11-24 00:00:00'), 788.9000000000001)]",0.957822,-0.0083337061847461,-0.1587159951802171,-0.037584830966924845,-0.16868787999418844,0.05484955711873507
2021-12-01,5982.829696481228,12-2021,"[(Timestamp('2021-12-03 00:00:00'), 780.2), (Timestamp('2021-12-03 00:00:00'), 780.2)]",0.0,0.0436129134620648,-0.079489148240457,0.05359442821752916,-0.2347681723354189,0.11138361598802748
2022-01-01,7330.151933841706,01-2022,"[(Timestamp('2022-01-21 00:00:00'), 1600.0)]",11.145308,-0.0525851650273938,-0.04040896601156463,-0.039944700271286195,-0.26569039925048443,0.06698973056096746
2022-02-01,7165.028676076531,02-2022,[],2.2416,-0.0313604919459082,-0.022224192358459627,-0.0313604919459082,-0.28200983706820537,0.0335284077093434
2022-03-01,9678.431678156852,03-2022,"[(Timestamp('2022-03-09 00:00:00'), 775.9000000000001), (Timestamp('2022-03-15 00:00:00'), 1560.0)]",2.16297,0.0357732883715462,0.02507916366968477,0.0710487442517508,-0.2640032442588153,0.10695930322560376
2022-04-01,8334.837237744332,04-2022,[],8.67691,-0.087956711804343,-0.13799120118667277,-0.087956711804343,-0.36556432065303557,0.009594802812653125
2022-05-01,8052.458633153438,05-2022,[],2.573064,5.317770464463578e-05,-0.033575833312515284,5.317770464463578e-05,-0.3868660272703016,0.009648490746887894
2022-06-01,7305.036337462663,06-2022,[],12.696952,-0.0839199999338268,-0.09131607756317084,-0.0839199999338268,-0.4428550166807018,-0.07508121052977923
2022-07-01,7962.616991183758,07-2022,[],8.768384000000001,0.09111639173021,0.09127133962771516,0.09111639173021,-0.3920036476862885,0.00919405221022096
2022-08-01,7670.8816612052915,08-2022,[],2.63016,-0.0424401282729983,-0.03631386107533736,-0.0424401282729983,-0.4140823427585205,-0.03363627281792769
2022-09-01,7171.601445040107,09-2022,[],12.698108999999999,-0.0933956720132743,-0.06348576501830731,-0.0933956720132743,-0.45127977346623016,-0.12389046252734981
2022-10-01,7902.4847681796555,10-2022,[],821.113296,0.0798634138370089,0.2288345935425712,0.0798634138370089,-0.3257136034587873,-0.053921363969621106
2022-11-01,8088.203219931126,11-2022,[],2.45025,0.0537528933524931,0.02381500400930441,0.0537528933524931,-0.3096554702217389,-0.0030668999440079947
2022-12-01,7696.525732872486,12-2022,[],11.8229,-0.0589714740747304,-0.046998789618595674,-0.0589714740747304,-0.3421008275411358,-0.06185751440820053
2023-01-01,8492.336320639848,01-2023,[],11.590432,0.0617528578346791,0.10498168378215492,0.0617528578346791,-0.273033464657518,-0.003924534866777685
2023-02-01,8041.959865068197,02-2023,[],3.818774,-0.0261124939318185,-0.05259559283126086,-0.0261124939318185,-0.31126870055234357,-0.02993454940570217
2023-03-01,11643.67301999092,03-2023,"[(Timestamp('2023-03-31 00:00:00'), 2958.0)]",14.82508,0.0350516125771089,0.08196183865007693,0.02950801258950725,-0.25481901691375697,-0.0013098458769195132
2023-04-01,11389.54221673429,04-2023,[],13.075364,0.014642341662481,-0.02071438897298671,0.014642341662481,-0.270254985652678,0.013313316574706358
2023-05-01,11589.740666730999,05-2023,[],6.6005959999999995,0.0024823473681929,0.018162162525095456,0.0024823473681929,-0.2570012381002239,0.01582871221926041
2023-06-01,11589.877390595675,06-2023,[],17.669473,0.0647274649042346,0.0015375473866597509,0.0647274649042346,-0.25585884229557354,0.08158072953814655
2023-07-01,11761.71213486135,07-2023,[],15.085272,0.0311389323550108,0.01613832901895972,0.0311389323550108,-0.24384964745599003,0.11525999871171821
2023-08-01,11143.97464694023,08-2023,[],4.47656,-0.017716390070854,-0.052150504211660044,-0.017716390070854,-0.2832832696009846,0.09550161754412123
2023-09-01,10158.803359014988,09-2023,[],15.677716,-0.0487193674656248,-0.08705974206872731,-0.0487193674656248,-0.34568044328586445,0.042129471679802855
2023-10-01,9889.731478259564,10-2023,[],9.208118,-0.0219796887379829,-0.0255918284375069,-0.0219796887379829,-0.36242567712459817,0.019223790267602237
2023-11-01,11830.027581076622,11-2023,[],3.937676,0.0891792687819701,0.19662854863914062,0.0891792687819701,-0.23706036336802505,0.11011742260885504
2023-12-01,13994.609614143372,12-2023,[],9.270000000000001,0.0442292311563601,0.18382612618806543,0.0442292311563601,-0.09681212545063889,0.15921706270412472
2024-01-01,13724.108071138859,01-2024,[],37.404928,0.0158957075989916,-0.016678554321856894,0.0158957075989916,-0.11187599347915289,0.1776436381766313
2024-02-01,15294.4126143533,02-2024,[],9.17853,0.0517206406237231,0.11512566192106673,0.0517206406237231,-0.009630129360450601,0.23855212156957872
2024-03-01,15471.478210713864,03-2024,[],20.563719000000003,0.0310187799153429,0.012930332219860178,0.0310187799153429,0.0031756820874586644,0.27697049724222667
2024-04-01,14594.81147213936,04-2024,[],34.17308,-0.0416150717378986,-0.05451568265862521,-0.0416150717378986,-0.05151312504807104,0.22382927839231148
2024-05-01,15609.381247505546,05-2024,[],33.032343999999995,0.0480211901511991,0.07185898693192126,0.0480211901511991,0.01664418090419839,0.28259901688259337
2024-06-01,16199.297930961253,06-2024,[],30.200200000000002,0.0346698012830832,0.03976528472478584,0.0346698012830832,0.057071326221650454,0.32706646992379085
2024-07-01,16181.055364480018,07-2024,[],27.94114,0.0113213168878687,0.000599220025042307,0.0113213168878687,0.057704744528220386,0.34209060996106344
2024-08-01,16794.74267692566,08-2024,[],21.102494999999998,0.0228347069366303,0.039255784224289006,0.0228347069366303,0.09922577375242714,0.3727368557219277
2024-09-01,17195.16241926193,09-2024,[],36.340918,0.0201968840906012,0.026033781830172364,0.0201968840906012,0.12784277772840014,0.4004618628838399
2024-10-01,16918.48249028921,10-2024,[],24.02188,-0.0098967433031517,-0.014703862868049892,-0.0098967433031517,0.11125913218796124,0.386601851321025
2024-11-01,18757.880212072134,11-2024,[],24.46,0.0573012954820988,0.11024456660076776,0.0573012954820988,0.2337694135971684,0.4660559337195964
2024-12-01,17901.22822572827,12-2024,[],42.57938,-0.0249901370484836,-0.04344882690640408,-0.0249901370484836,0.1801635799033694,0.429418995015201
2025-01-01,18070.7765558064,01-2025,[],17.4995,0.0270163042404441,0.010453978889402875,0.0270163042404441,0.19250098505372137,0.4680366134716014
2025-02-01,17140.80699368119,02-2025,[],8.76,-0.0142420926998251,-0.05099038323912817,-0.0142420926998251,0.13169490281279428,0.4471286999358015
2025-03-01,15632.7380791533,03-2025,[],27.05,-0.0575446976813753,-0.08647287728684587,-0.0575446976813753,0.033833988355714606,0.3638541163919542
2025-04-01,16061.289972621202,04-2025,[],24.72326,-0.0076249433462898,0.029018032296639632,-0.0076249433462898,0.06383381641918451,0.3534548060218614
2025-05-01,17657.279726920722,05-2025,[],3.99,0.0615238261407828,0.09962922025506016,0.0615238261407828,0.1698227500299927,0.4367245241969575
2025-06-01,18682.20279174328,06-2025,[],42.019999999999996,0.0496068394677158,0.06049603565611466,0.0496068394677158,0.2405923888271413,0.5079958870281265
